127.0.0.1 - - [28/Jan/2022:10:59:08 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [28/Jan/2022:10:59:10 +0900] "GET /JQueryAjaxStudyExam/ajaxMain.html HTTP/1.1" 200 12396
0:0:0:0:0:0:0:1 - - [28/Jan/2022:10:59:10 +0900] "GET /JQueryAjaxStudyExam/js/jquery-3.3.1.min.js HTTP/1.1" 200 86927
0:0:0:0:0:0:0:1 - - [28/Jan/2022:10:59:11 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [28/Jan/2022:10:59:14 +0900] "POST /JQueryAjaxStudyExam/ajax/ajaxProcess.jsp HTTP/1.1" 200 934
0:0:0:0:0:0:0:1 - - [28/Jan/2022:10:59:14 +0900] "GET /JQueryAjaxStudyExam/images/ball_42.png HTTP/1.1" 200 2729
0:0:0:0:0:0:0:1 - - [28/Jan/2022:10:59:14 +0900] "GET /JQueryAjaxStudyExam/images/ball_11.png HTTP/1.1" 200 2207
0:0:0:0:0:0:0:1 - - [28/Jan/2022:10:59:14 +0900] "GET /JQueryAjaxStudyExam/images/ball_29.png HTTP/1.1" 200 2724
0:0:0:0:0:0:0:1 - - [28/Jan/2022:10:59:14 +0900] "GET /JQueryAjaxStudyExam/images/ball_31.png HTTP/1.1" 200 2082
0:0:0:0:0:0:0:1 - - [28/Jan/2022:10:59:14 +0900] "GET /JQueryAjaxStudyExam/images/ball_20.png HTTP/1.1" 200 2891
0:0:0:0:0:0:0:1 - - [28/Jan/2022:10:59:14 +0900] "GET /JQueryAjaxStudyExam/images/ball_33.png HTTP/1.1" 200 2241
0:0:0:0:0:0:0:1 - - [28/Jan/2022:10:59:14 +0900] "GET /JQueryAjaxStudyExam/images/ball_18.png HTTP/1.1" 200 2684
0:0:0:0:0:0:0:1 - - [28/Jan/2022:10:59:14 +0900] "GET /JQueryAjaxStudyExam/images/ball_06.png HTTP/1.1" 200 2031
0:0:0:0:0:0:0:1 - - [28/Jan/2022:10:59:14 +0900] "GET /JQueryAjaxStudyExam/images/ball_12.png HTTP/1.1" 200 2615
0:0:0:0:0:0:0:1 - - [28/Jan/2022:10:59:14 +0900] "GET /JQueryAjaxStudyExam/images/ball_09.png HTTP/1.1" 200 2074
0:0:0:0:0:0:0:1 - - [28/Jan/2022:10:59:14 +0900] "GET /JQueryAjaxStudyExam/images/ball_37.png HTTP/1.1" 200 2224
0:0:0:0:0:0:0:1 - - [28/Jan/2022:10:59:14 +0900] "GET /JQueryAjaxStudyExam/images/ball_40.png HTTP/1.1" 200 2235
0:0:0:0:0:0:0:1 - - [28/Jan/2022:10:59:14 +0900] "GET /JQueryAjaxStudyExam/images/ball_38.png HTTP/1.1" 200 2352
0:0:0:0:0:0:0:1 - - [28/Jan/2022:10:59:14 +0900] "GET /JQueryAjaxStudyExam/images/ball_14.png HTTP/1.1" 200 2547
0:0:0:0:0:0:0:1 - - [28/Jan/2022:10:59:14 +0900] "GET /JQueryAjaxStudyExam/images/ball_28.png HTTP/1.1" 200 2727
0:0:0:0:0:0:0:1 - - [28/Jan/2022:10:59:14 +0900] "GET /JQueryAjaxStudyExam/images/ball_10.png HTTP/1.1" 200 2422
0:0:0:0:0:0:0:1 - - [28/Jan/2022:10:59:14 +0900] "GET /JQueryAjaxStudyExam/images/ball_25.png HTTP/1.1" 200 2650
0:0:0:0:0:0:0:1 - - [28/Jan/2022:10:59:14 +0900] "GET /JQueryAjaxStudyExam/images/ball_34.png HTTP/1.1" 200 2261
0:0:0:0:0:0:0:1 - - [28/Jan/2022:10:59:14 +0900] "GET /JQueryAjaxStudyExam/images/ball_39.png HTTP/1.1" 200 2338
0:0:0:0:0:0:0:1 - - [28/Jan/2022:10:59:14 +0900] "GET /JQueryAjaxStudyExam/images/ball_13.png HTTP/1.1" 200 2621
0:0:0:0:0:0:0:1 - - [28/Jan/2022:10:59:14 +0900] "GET /JQueryAjaxStudyExam/images/ball_19.png HTTP/1.1" 200 2697
0:0:0:0:0:0:0:1 - - [28/Jan/2022:10:59:14 +0900] "GET /JQueryAjaxStudyExam/images/ball_05.png HTTP/1.1" 200 1920
0:0:0:0:0:0:0:1 - - [28/Jan/2022:10:59:14 +0900] "GET /JQueryAjaxStudyExam/images/ball_36.png HTTP/1.1" 200 2313
0:0:0:0:0:0:0:1 - - [28/Jan/2022:10:59:14 +0900] "GET /JQueryAjaxStudyExam/images/ball_21.png HTTP/1.1" 200 2414
0:0:0:0:0:0:0:1 - - [28/Jan/2022:10:59:14 +0900] "GET /JQueryAjaxStudyExam/images/ball_03.png HTTP/1.1" 200 1955
0:0:0:0:0:0:0:1 - - [28/Jan/2022:10:59:14 +0900] "GET /JQueryAjaxStudyExam/images/ball_45.png HTTP/1.1" 200 2699
